Date;GX1 Index;XP1 Index;PT1 Index;IB1 Index;TP1 Index;HI1 Index;ST1 Index;SD1 Index;QC1 Index;SM1 Index;EO1 Index;Z 1 Index;SP1 Index; CF1 Index; VG1 Index
29/12/1995;2278.5;#N/A N/A;#N/A N/A;3642;1574;10140;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3703;618.45;1873.5;#N/A N/A
01/01/1996;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
02/01/1996;2326;#N/A N/A;#N/A N/A;3696.5;#N/A N/A;10318;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;224.34;3717;625.1;1917.5;#N/A N/A
03/01/1996;2343;#N/A N/A;#N/A N/A;3711.5;#N/A N/A;10500;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;226.69;3747;626.95;1953;#N/A N/A
04/01/1996;2350;#N/A N/A;#N/A N/A;3706.5;1631;10575;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.45;3742;619.8;1936;#N/A N/A
05/01/1996;2330;#N/A N/A;#N/A N/A;3691;1640;10580;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;226.12;3731;619.3;1923;#N/A N/A
08/01/1996;2354.5;#N/A N/A;#N/A N/A;3700.5;1630;10462;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.85;3750.5;622.4;1922;#N/A N/A
09/01/1996;2369.5;#N/A N/A;#N/A N/A;3685.5;1632;10510;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.56;3731;608.5;1923;#N/A N/A
10/01/1996;2356.5;#N/A N/A;#N/A N/A;3658.5;1616;10350;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;226.93;3692;600.75;1919;#N/A N/A
11/01/1996;2346;#N/A N/A;#N/A N/A;3669;1606;10520;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.05;3667;605.65;1905;#N/A N/A
12/01/1996;2365.5;#N/A N/A;#N/A N/A;3678.5;1591;10565;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.64;3671;604.95;1912;#N/A N/A
15/01/1996;2376;#N/A N/A;#N/A N/A;3677.5;#N/A N/A;10720;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.71;3684;603.2;1933;#N/A N/A
16/01/1996;2392.5;#N/A N/A;#N/A N/A;3719.5;1609;10645;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.94;3727;610.9;1959;#N/A N/A
17/01/1996;2388;#N/A N/A;#N/A N/A;3718.5;1610;10560;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.87;3723;608.3;1975;#N/A N/A
18/01/1996;2401.5;#N/A N/A;#N/A N/A;3728.5;1591;10575;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.07;3772;610.5;1964;#N/A N/A
19/01/1996;2414.5;#N/A N/A;#N/A N/A;3744;1598;10790;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;230.7;3773;614.15;1967;#N/A N/A
22/01/1996;2402;#N/A N/A;#N/A N/A;3751.5;1575;10975;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;230.9;3774.5;613.7;1961.5;#N/A N/A
23/01/1996;2405;#N/A N/A;#N/A N/A;3728.5;1562;10945;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.55;3755;616.15;1942;#N/A N/A
24/01/1996;2446;#N/A N/A;#N/A N/A;3777.5;1582;10975;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;231.59;3775;621.95;1954;#N/A N/A
25/01/1996;2454;#N/A N/A;#N/A N/A;3768.5;1588;11185;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;230.77;3746;619;1949.5;#N/A N/A
26/01/1996;2458;#N/A N/A;#N/A N/A;3731.5;1613;11130;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.98;3742;624.15;1971;#N/A N/A
29/01/1996;2446;#N/A N/A;#N/A N/A;3679.5;1597;11035;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.89;3748;626.2;1980;#N/A N/A
30/01/1996;2468.5;#N/A N/A;#N/A N/A;3728;1603;11110;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.48;3751;631.95;2003;#N/A N/A
31/01/1996;2474;#N/A N/A;#N/A N/A;3738.5;1609;11400;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.6;3761;637.95;2010.9;#N/A N/A
01/02/1996;2482;#N/A N/A;#N/A N/A;3773.5;1630;11395;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.56;3769;639.65;2033;#N/A N/A
02/02/1996;2469;#N/A N/A;#N/A N/A;3731.5;1628;11585;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.49;3802;638.35;2032;#N/A N/A
05/02/1996;2424;#N/A N/A;#N/A N/A;3677.5;1602;11540;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;226.57;3763;641.9;1990;#N/A N/A
06/02/1996;2448;#N/A N/A;#N/A N/A;3699;1612;11440;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.36;3761;648.2;1996;#N/A N/A
07/02/1996;2446.5;#N/A N/A;#N/A N/A;3685.5;1625;11470;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;229.13;3732;651.75;1991;#N/A N/A
08/02/1996;2422;#N/A N/A;#N/A N/A;3654.5;1634;11420;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.86;3712;658.35;1959;#N/A N/A
09/02/1996;2443;#N/A N/A;#N/A N/A;3703.5;1630;11365;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;227.79;3722;659.25;1964;#N/A N/A
12/02/1996;2433;#N/A N/A;#N/A N/A;3697;#N/A N/A;11340;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;228.77;3733;664.25;1975;#N/A N/A
13/02/1996;2444;#N/A N/A;#N/A N/A;3734.5;1620;11260;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;232.01;3753;661.8;1992;#N/A N/A
14/02/1996;2428.5;#N/A N/A;#N/A N/A;3714.5;1628;11465;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;231.68;3746;655.9;1962;#N/A N/A
15/02/1996;2429;#N/A N/A;#N/A N/A;3802.5;1611;11565;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;232.46;3784;651.4;1960;#N/A N/A
